trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-54.16969338128507,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-67.57046633597088,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,6,-54.512153338268526,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-42.418926082894174,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,12,-60.94643801160697,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-105.83222608569943,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-72.2624309864628,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-60.33704021934214,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-127.89704259979636,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,21,-48.35305647795176,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-78.14022970185573,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,4,-25.785731581089035,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,12,-39.908106359972315,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,4.082490737381594,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-71.8818258794286,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-34.33982281071464,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-76.74577567000536,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,15,0.46352568442021136,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-130.55391949523008,"{0: 7, 1: 2, 2: 1, 3: 2, 4: 2}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-198.71877931232598,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 5}",0
1,True,"{'a': 0, 'e': 0}",25,0,4.768164705421926,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,0,-37.5341269688673,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",30,0,-21.352761319667696,"{0: 25, 1: 3, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,2,-15.837493590133104,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,3,-43.56986990125506,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,15,7.276198735708485,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,0,-11.788669706588658,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,16,-27.374424234649418,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,11,21.559528924194062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,5,-51.58447310776398,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
