trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9801986733067553}",20,0,-45.09983342279162,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.9607894391523232}",25,0,-108.82867538604977,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9417645335842487}",20,0,-85.84693301121253,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.9231163463866358}",25,0,-125.99354408176455,"{0: 14, 1: 0, 2: 10, 3: 0, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9048374180359596}",30,9,-117.32250704266193,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 2}",1
6,False,"{'a': 0.8, 'e': 0.8869204367171575}",20,0,-110.55825114569845,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.8693582353988059}",25,0,-163.67287966461095,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.8521437889662113}",20,0,-118.5997285814215,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.835270211411272}",20,0,-125.84907838298808,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",1
10,False,"{'a': 0.8, 'e': 0.8187307530779818}",25,0,-157.80430254822406,"{0: 16, 1: 2, 2: 1, 3: 4, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.8025187979624785}",20,0,-64.69858229012891,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.7866278610665535}",30,0,-122.07506928290152,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.7710515858035663}",30,0,-153.07640836303375,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.7557837414557255}",20,0,-95.79010285727094,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.8, 'e': 0.7408182206817179}",25,0,-102.38555001250401,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
