trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-9.876479425021369,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.46473561142477,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.6445715794641,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-180.31056962882406,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,11,-23.59786992694771,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.32056714985842,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.26466168860401,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-107.52359500938648,"{0: 16, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.3028178282897,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.98041677950545,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-113.68531472562809,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-127.3820689029705,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-170.800549350111,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.7666110647238,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.83121739312101,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.06019656122027,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.57909984048109,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-143.6161157135074,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.28359374714677,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.22727018101529,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-139.9160467772435,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,1,-153.7895394166234,"{0: 8, 1: 2, 2: 5, 3: 3, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.93126702230732,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.72761659143054,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.252314048460136,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-155.37505244977277,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,16,-24.494184741618408,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-188.20070367106706,"{0: 10, 1: 4, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,1,-80.33844256411744,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.09501138033599,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
